id;name;longitude;latitude;type;subtype
4927;604 SANTA MAGDALENA;-58,3802562;-34,6497617;Parada Colectivo;
4928;1374 VIEYTES;-58,3772725;-34,6483768;Parada Colectivo;
4929;1346 VIEYTES;-58,3772904;-34,6483434;Parada Colectivo;
4930;435 SAN ANTONIO;-58,3789345;-34,6471937;Parada Colectivo;
4931;1118 VIEYTES;-58,390306;-34,633508;Parada Colectivo;
4932;1110 VIEYTES;-58,3788278;-34,6451502;Parada Colectivo;
4933;910 VIEYTES;-58,3792794;-34,6432053;Parada Colectivo;
4934;2078 SUAREZ AV.;-58,3793197;-34,6419118;Parada Colectivo;
4935;1920 SUAREZ AV.;-58,3774002;-34,6406521;Parada Colectivo;
4936;1412 SUAREZ;-58,3715877;-34,6383453;Parada Colectivo;
4937;1389 BRANDSEN;-58,3713365;-34,637481;Parada Colectivo;
4938;1595 BRANDSEN;-58,3728869;-34,6376258;Parada Colectivo;
4939;1679 BRANDSEN;-58,3745241;-34,6377783;Parada Colectivo;
4940;1799 BRANDSEN;-58,376161;-34,6379406;Parada Colectivo;
4941;SUAREZ AV. 20895;-58,3793071;-34,6417016;Parada Colectivo;
4942;2098 CALIFORNIA;-58,3771087;-34,6477489;Parada Colectivo;
4943;1518 CALIFORNIA;-58,3710149;-34,6462546;Parada Colectivo;
4944;1497 ROCHA;-58,3715098;-34,6421758;Parada Colectivo;
4945;1502 MAGALLANES;-58,3719221;-34,6414522;Parada Colectivo;
4946;1675 IRIARTE, GRAL.;-58,372515;-34,647984;Parada Colectivo;
4947;1673 IRIARTE, GRAL.;-58,37251;-34,647985;Parada Colectivo;
4948;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,445722;-34,541932;Parada Colectivo;
4949;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,446067;-34,541653;Parada Colectivo;
4950;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,445201;-34,542182;Parada Colectivo;
4951;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,444635;-34,542373;Parada Colectivo;
4952;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,443725;-34,542674;Parada Colectivo;
4953;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,443519;-34,542725;Parada Colectivo;
4954;CALLE INTERNA PABELLON 2 Y 3, C.U.;-58,442696;-34,542975;Parada Colectivo;
4955;GUIRALDES, INT. & CANTILO, INT.;-58,4394763;-34,5454931;Parada Colectivo;
4956;2948 BAUNESS;-58,4912174;-34,5707245;Parada Colectivo;
4957;5570 TRIUNVIRATO AV.;-58,4936117;-34,5676477;Parada Colectivo;
4958;4520 DONADO;-58,4915373;-34,5510425;Parada Colectivo;
4959;3610 VEDIA;-58,487565;-34,545003;Parada Colectivo;
4960;3626 VEDIA;-58,4876855;-34,5451278;Parada Colectivo;
4961;3416 VEDIA;-58,485838;-34,544155;Parada Colectivo;
4962;3432 VEDIA;-58,4857225;-34,5440967;Parada Colectivo;
4963;3206 VEDIA;-58,4839493;-34,5431712;Parada Colectivo;
4964;3220 VEDIA;-58,4842143;-34,5433087;Parada Colectivo;
4965;3216 VEDIA;-58,4839055;-34,5431484;Parada Colectivo;
4966;1180 PAZ, GRAL. AV.;-58,4764358;-34,5398511;Parada Colectivo;
4967;4875 JUSTO, JUAN B. AV.;-58,467682;-34,61109;Parada Colectivo;
4968;3975 JUSTO, JUAN B. AV.;-58,4582385;-34,60418;Parada Colectivo;
4969;5322 JUSTO, JUAN B. AV.;-58,4724213;-34,61432;Parada Colectivo;
4970;3540 TRAFUL;-58,4102678;-34,6507775;Parada Colectivo;
4971;939 ESQUIU;-58,417122;-34,6518848;Parada Colectivo;
4972;944 ESQUIU;-58,4168537;-34,6520042;Parada Colectivo;
4973;3207 CORVALAN;-58,4730541;-34,6674496;Parada Colectivo;
4974;761 BOEDO AV.;-58,4165159;-34,6217484;Parada Colectivo;
4975;7123 FIGUEROA ALCORTA, PRES. AV.;-58,4427431;-34,5476113;Parada Colectivo;
4976;CALLE INTERNA, PABELL�N 3, C.U.;-58,4449927;-34,5421656;Parada Colectivo;
4977;CALLE INTERNA, PABELL�N 2, C.U.;-58,442991;-34,5428217;Parada Colectivo;
4978;COREA AV. 1897;-58,441547;-34,6435043;Parada Colectivo;
4979;1671 COBO AV.;-58,438712;-34,6429466;Parada Colectivo;
4980;1704 MARIANO ACOSTA;-58,4633519;-34,6489068;Parada Colectivo;
4981;3785 ALVAREZ, CRISOSTOMO;-58,4665993;-34,6535246;Parada Colectivo;
4982;678 ACOYTE AV.;-58,4392319;-34,611146;Parada Colectivo;
4983;763 ACOYTE AV.;-58,4397668;-34,6094581;Parada Colectivo;
4984;3478 LASCANO;-58,491828;-34,610648;Parada Colectivo;
4985;2506 GARCIA, JUAN AGUSTIN;-58,4772289;-34,607827;Parada Colectivo;
4986;1081 URIBURU JOSE E., PRES.;-58,3985598;-34,595799;Parada Colectivo;
4987;1366 RABANAL, FRANCISCO, INTENDENTE AV.;-58,4175857;-34,6553676;Parada Colectivo;
4988;287 CURAPALIGUE;-58,4527349;-34,62829;Parada Colectivo;
4989;597 CURAPALIGUE;-58,4512417;-34,6315236;Parada Colectivo;
4990;1114 ESQUIU;-58,4191067;-34,6517447;Parada Colectivo;
4991;1319 RABANAL, FRANCISCO, INTENDENTE AV.;-58,4175794;-34,6547963;Parada Colectivo;
4992;836 FOREST AV.;-58,4561187;-34,5829322;Parada Colectivo;
4993;1842 CABILDO AV.;-58,4547708;-34,56446;Parada Colectivo;
4994;3716 OLAZABAL AV.;-58,472182;-34,5685381;Parada Colectivo;
4995;3932 OLAZABAL AV.;-58,4740378;-34,5696672;Parada Colectivo;
4996;1441 MU�ECAS;-58,451266;-34,5955326;Parada Colectivo;
4997;822 FOREST AV.;-58,4560301;-34,5830297;Parada Colectivo;
4998;2922 PEREZ, ROQUE;-58,4740397;-34,5611137;Parada Colectivo;
4999;2071 PY, COMODORO AV.;-58,3683065;-34,588106;Parada Colectivo;
5000;201 CASTILLO, RAMON S., PRES. AV.;-58,368958;-34,583924;Parada Colectivo;
5001;1213 OBLIGADO RAFAEL, AV.COSTANERA;-58,3958179;-34,5717874;Parada Colectivo;
5002;1407 OBLIGADO RAFAEL, AV.COSTANERA;-58,3982446;-34,5702522;Parada Colectivo;
5003;1889 OBLIGADO RAFAEL, AV.COSTANERA;-58,4008837;-34,5662432;Parada Colectivo;
5004;121 CALLAO AVE;-58,3919531;-34,6077096;Parada Colectivo;
5005;33 ASAMBLEA AV.;-58,4264554;-34,6314284;Parada Colectivo;
5006;46 MONTEAGUDO;-58,4054594;-34,6376587;Parada Colectivo;
5007;30 MONTEAGUDO;-58,4055205;-34,6374155;Parada Colectivo;
5008;3608 GRITO DE ASENCIO;-58,4124912;-34,6479066;Parada Colectivo;
5009;326 IGUAZU;-58,4061785;-34,6414883;Parada Colectivo;
5010;2489 MORENO, PERITO AV.;-58,4444832;-34,6509799;Parada Colectivo;
5011;781 BOEDO AV.;-58,4164818;-34,622101;Parada Colectivo;
5012;1714 BARCO CENTENERA DEL;-58,4325151;-34,6384833;Parada Colectivo;
5013;1281 MU�ECAS;-58,4499544;-34,5967147;Parada Colectivo;
5014;1945 CABILDO AV.;-58,4553646;-34,56339;Parada Colectivo;
5015;1810 LA PAMPA;-58,44893;-34,561761;Parada Colectivo;
5016;92 CAMPOS, LUIS M. AV.;-58,4305897;-34,5755526;Parada Colectivo;
5017;2388 DE LOS INMIGRANTES AV.;-58,369858;-34,5849504;Parada Colectivo;
5018;2392 DE LOS INMIGRANTES AV.;-58,3700157;-34,5851304;Parada Colectivo;
5019;3489 WASHINGTON;-58,4796113;-34,5570354;Parada Colectivo;
5020;3612 BALBIN, RICARDO, DR. AV.;-58,4814399;-34,5559574;Parada Colectivo;
5021;4491 PLAZA;-58,489303;-34,5504568;Parada Colectivo;
5022;4508 TRONADOR;-58,4889543;-34,5497869;Parada Colectivo;
5023;4340 TRONADOR;-58,4878058;-34,5513461;Parada Colectivo;
5024;CALLE INTERNA, PABELL�N 1, C.U.;-58,4393688;-34,5453334;Parada Colectivo;
5025;66 AV. ACOYTE;-58,4370222;-34,6174391;Parada Colectivo;
5026;52 AV. ACOYTE;-58,4367566;-34,6179638;Parada Colectivo;
5027;5069 AV. RIVADAVIA;-58,4371949;-34,6185363;Parada Colectivo;
5028;5289 AV. RIVADAVIA;-58,4400104;-34,6197962;Parada Colectivo;
5029;5337 AV. RIVADAVIA;-58,4406566;-34,620092;Parada Colectivo;
5030;5669 AV. RIVADAVIA;-58,4440952;-34,6215618;Parada Colectivo;
5031;6010 AV. RIVADAVIA;-58,4499805;-34,6241671;Parada Colectivo;
5032;16 AV. CARABOBO;-58,4564903;-34,6269066;Parada Colectivo;
5033;18 AV. CARABOBO;-58,4563432;-34,6272156;Parada Colectivo;
5034;37 AV. CARABOBO;-58,4565701;-34,6270869;Parada Colectivo;
5035;6810 AV. RIVADAVIA;-58,4614058;-34,6285467;Parada Colectivo;
5036;6840 AV. RIVADAVIA;-58,4618213;-34,6286612;Parada Colectivo;
5037;6854 AV. RIVADAVIA;-58,4620406;-34,628728;Parada Colectivo;
5038;66 FRAY CAYETANO RODRIGUEZ;-58,4629524;-34,6284322;Parada Colectivo;
5039;12 PEDERNERA;-58,4639168;-34,6294823;Parada Colectivo;
5040;7025 AV. RIVADAVIA;-58,4644092;-34,6292799;Parada Colectivo;
5041;7063 AV. RIVADAVIA;-58,4647105;-34,6293669;Parada Colectivo;
5042;7091 AV. RIVADAVIA;-58,4650986;-34,6294791;Parada Colectivo;
5043;75 AV. VARELA;-58,4651587;-34,6305725;Parada Colectivo;
5044;7125 AV. RIVADAVIA;-58,4658622;-34,6296854;Parada Colectivo;
5045;7157 AV. RIVADAVIA;-58,4663568;-34,629822;Parada Colectivo;
5046;7181 AV. RIVADAVIA;-58,4666188;-34,629885;Parada Colectivo;
5047;7212 AV. RIVADAVIA;-58,467147;-34,6301279;Parada Colectivo;
5048;7242 AV. RIVADAVIA;-58,4675393;-34,6302279;Parada Colectivo;
5049;7278 AV. RIVADAVIA;-58,4678666;-34,6303164;Parada Colectivo;
5050;7318 AV. RIVADAVIA;-58,4685392;-34,6304983;Parada Colectivo;
5051;7358 AV. RIVADAVIA;-58,4689562;-34,6306;Parada Colectivo;
5052;7539 AV. RIVADAVIA;-58,471857;-34,630916;Parada Colectivo;
5053;7551 AV. RIVADAVIA;-58,4690736;-34,6304489;Parada Colectivo;
5054;7587 AV. RIVADAVIA;-58,472039;-34,63131;Parada Colectivo;
5055;8547 AV. RIVADAVIA;-58,483996;-34,6342613;Parada Colectivo;
5056;8620 AV. RIVADAVIA;-58,4853581;-34,6347857;Parada Colectivo;
5057;8662 AV. RIVADAVIA;-58,4858022;-34,6348704;Parada Colectivo;
5058;8660 AV. RIVADAVIA;-58,4860471;-34,6349296;Parada Colectivo;
5059;54 AV LACARRA;-58,4868128;-34,6357299;Parada Colectivo;
5060;28 AV LACARRA;-58,4872974;-34,6353959;Parada Colectivo;
5061;8769 AV. RIVADAVIA;-58,4874589;-34,6351097;Parada Colectivo;
5062;8849 AV. RIVADAVIA;-58,488267;-34,6352622;Parada Colectivo;
5063;8893 AV. RIVADAVIA;-58,4893289;-34,6355482;Parada Colectivo;
5064;8947 AV. RIVADAVIA;-58,490137;-34,6356911;Parada Colectivo;
5065;8987 AV. RIVADAVIA;-58,4906449;-34,6358627;Parada Colectivo;
5066;9059 AV. RIVADAVIA;-58,4916492;-34,636101;Parada Colectivo;
5067;12 MOZART;-58,4920694;-34,6363761;Parada Colectivo;
5068;156 MOZART;-58,4916491;-34,6386173;Parada Colectivo;
5069;9137 AV. RIVADAVIA;-58,4925406;-34,6363509;Parada Colectivo;
5070;9131 AV. RIVADAVIA;-58,4930193;-34,636401;Parada Colectivo;
5071;9381 AV. RIVADAVIA;-58,4962794;-34,6369403;Parada Colectivo;
5072;9395 AV. RIVADAVIA;-58,496439;-34,6369716;Parada Colectivo;
5073;99 LEOPARDI;-58,4978606;-34,6384095;Parada Colectivo;
5074;9553 AV. RIVADAVIA;-58,498772;-34,6372536;Parada Colectivo;
5075;9563 AV. RIVADAVIA;-58,4990076;-34,6372912;Parada Colectivo;
5076;12 MANZONI;-58,4993649;-34,6376679;Parada Colectivo;
5077;9667 AV. RIVADAVIA;-58,5003147;-34,6374981;Parada Colectivo;
5078;9683 AV. RIVADAVIA;-58,500725;-34,6375105;Parada Colectivo;
5079;9895 AV. RIVADAVIA;-58,5026933;-34,6378176;Parada Colectivo;
5080;9961 AV. RIVADAVIA;-58,5037889;-34,637996;Parada Colectivo;
5081;10011 AV. RIVADAVIA;-58,5047959;-34,6381015;Parada Colectivo;
5082;10533 AV. RIVADAVIA;-58,5119669;-34,6392281;Parada Colectivo;
5083;10567 AV. RIVADAVIA;-58,5123176;-34,639248;Parada Colectivo;
5084;10577 AV. RIVADAVIA;-58,5125111;-34,6392179;Parada Colectivo;
5085;10629 AV. RIVADAVIA;-58,5133937;-34,6391876;Parada Colectivo;
5086;10643 AV. RIVADAVIA;-58,5133575;-34,6392176;Parada Colectivo;
5087;10829 AV. RIVADAVIA;-58,517162;-34,639094;Parada Colectivo;
5088;10855 AV. RIVADAVIA;-58,517162;-34,639094;Parada Colectivo;
5089;10786 AV. RIVADAVIA;-58,5157517;-34,6392465;Parada Colectivo;
5090;10754 AV. RIVADAVIA;-58,5153406;-34,6392867;Parada Colectivo;
5091;10720 AV. RIVADAVIA;-58,5147118;-34,6393169;Parada Colectivo;
5092;10714 AV. RIVADAVIA;-58,5143732;-34,6392971;Parada Colectivo;
5093;10658 AV. RIVADAVIA;-58,5137082;-34,6393274;Parada Colectivo;
5094;10614 AV. RIVADAVIA;-58,5130795;-34,6393676;Parada Colectivo;
5095;9864 AV. RIVADAVIA;-58,5034174;-34,638062;Parada Colectivo;
5096;9840 AV. RIVADAVIA;-58,5030909;-34,6380221;Parada Colectivo;
5097;9816 AV. RIVADAVIA;-58,5022686;-34,6378725;Parada Colectivo;
5098;9802 AV. RIVADAVIA;-58,502285;-34,638093;Parada Colectivo;
5099;9620 AV. RIVADAVIA;-58,4998018;-34,6375934;Parada Colectivo;
5100;9546 AV. RIVADAVIA;-58,4986409;-34,6373839;Parada Colectivo;
5101;9530 AV. RIVADAVIA;-58,4982177;-34,6373241;Parada Colectivo;
5102;9516 RIVADAVIA AVE;-58,4982234;-34,6373649;Parada Colectivo;
5103;9518 RIVADAVIA AVE;-58,4982437;-34,6373677;Parada Colectivo;
5104;9294 AV. RIVADAVIA;-58,4950011;-34,6369052;Parada Colectivo;
5105;9270 AV. RIVADAVIA;-58,4946747;-34,6368653;Parada Colectivo;
5106;9238 AV. RIVADAVIA;-58,4938645;-34,6367557;Parada Colectivo;
5107;9218 AV. RIVADAVIA;-58,4934901;-34,637995;Parada Colectivo;
5108;9184 AV. RIVADAVIA;-58,4928608;-34,636556;Parada Colectivo;
5109;8844 AV. RIVADAVIA;-58,4889671;-34,6356374;Parada Colectivo;
5110;43 BOEDO;-58,4182939;-34,6116367;Parada Colectivo;
5111;25 BOEDO;-58,418415;-34,611267;Parada Colectivo;
5112;171 COMBATE DE LOS POZOS;-58,3933931;-34,6113752;Parada Colectivo;
5113;97 CAMPICHUELO;-58,433215;-34,615587;Parada Colectivo;
5114;2418 AV. SCALABRINI ORTIZ;-58,4173198;-34,5859327;Parada Colectivo;
5115;2351 AV. SCALABRINI ORTIZ;-58,4180765;-34,5865483;Parada Colectivo;
5116;2345 AV. SCALABRINI ORTIZ;-58,4181111;-34,5865805;Parada Colectivo;
5117;1575 AV. SCALABRINI ORTIZ;-58,4251212;-34,5911086;Parada Colectivo;
5118;4412 CABRERA, JOSE A.;-58,426937;-34,5938424;Parada Colectivo;
5119;4410 CABRERA, JOSE A.;-58,426435;-34,5941821;Parada Colectivo;
5120;1278 AV. SCALABRINI ORTIZ;-58,4283217;-34,5930915;Parada Colectivo;
5121;1210 AV. SCALABRINI ORTIZ;-58,4291002;-34,5935962;Parada Colectivo;
5122;1027 AV. SCALABRINI ORTIZ;-58,430542;-34,595021;Parada Colectivo;
5123;491 CAMARGO;-58,4398012;-34,6006978;Parada Colectivo;
5124;481 CAMARGO;-58,4397533;-34,6007505;Parada Colectivo;
5125;812 RODRIGUEZ PE�A;-58,3916541;-34,599356;Parada Colectivo;
5126;628 RODRIGUEZ PE�A;-58,3914272;-34,6015883;Parada Colectivo;
5127;604 RODRIGUEZ PE�A;-58,3913578;-34,6018029;Parada Colectivo;
5128;434 RODRIGUEZ PE�A;-58,3909233;-34,6039636;Parada Colectivo;
5129;420 RODRIGUEZ PE�A;-58,3908885;-34,6041353;Parada Colectivo;
5130;379 PARANA;-58,3878424;-34,6042479;Parada Colectivo;
5131;639 PARANA;-58,387966;-34,6014288;Parada Colectivo;
5132;657 PARANA;-58,3880316;-34,6010575;Parada Colectivo;
5133;675 PARANA;-58,3880376;-34,6009397;Parada Colectivo;
5134;881 PARANA;-58,3881071;-34,5984953;Parada Colectivo;
5135;922 URUGUAY;-58,3871037;-34,5980654;Parada Colectivo;
5136;780 URUGUAY;-58,386912;-34,5995965;Parada Colectivo;
5137;580 URUGUAY;-58,3868061;-34,6018288;Parada Colectivo;
5138;564 URUGUAY;-58,3867713;-34,6020721;Parada Colectivo;
5139;556 URUGUAY;-58,3867192;-34,6022008;Parada Colectivo;
5140;546 URUGUAY;-58,3867018;-34,6023153;Parada Colectivo;
5141;354 URUGUAY;-58,3866305;-34,6046192;Parada Colectivo;
5142;426 TALCAHUANO;-58,385475;-34,603563;Parada Colectivo;
5143;634 TALCAHUANO;-58,3853875;-34,6012126;Parada Colectivo;
5144;812 TALCAHUANO;-58,3855973;-34,5990089;Parada Colectivo;
5145;836 TALCAHUANO;-58,3855974;-34,5988658;Parada Colectivo;
5146;743 LIBERTAD;-58,3839224;-34,599919;Parada Colectivo;
5147;469 LIBERTAD;-58,3836887;-34,603029;Parada Colectivo;
5148;459 LIBERTAD;-58,3837233;-34,6031149;Parada Colectivo;
5149;349 LIBERTAD;-58,3836182;-34,6044028;Parada Colectivo;
5150;1445 LAVALLE;-58,3871716;-34,6027449;Parada Colectivo;
5151;1451 LAVALLE;-58,3873331;-34,6027975;Parada Colectivo;
5152;1591 LAVALLE;-58,389329;-34,6029704;Parada Colectivo;
5153;1759 LAVALLE;-58,3918268;-34,6030912;Parada Colectivo;
5154;1737 LAVALLE;-58,3914577;-34,6030623;Parada Colectivo;
5155;1783 LAVALLE;-58,3921845;-34,6031152;Parada Colectivo;
5156;1772 VIAMONTE;-58,3923479;-34,6008543;Parada Colectivo;
5157;1710 VIAMONTE;-58,3915843;-34,600796;Parada Colectivo;
5158;1570 VIAMONTE;-58,3891752;-34,6007618;Parada Colectivo;
5159;1548 VIAMONTE;-58,3887599;-34,6007281;Parada Colectivo;
5160;1530 VIAMONTE;-58,3884368;-34,6007231;Parada Colectivo;
5161;1510 VIAMONTE;-58,3881888;-34,6006991;Parada Colectivo;
5162;1334 VIAMONTE;-58,3857227;-34,6005927;Parada Colectivo;
5163;1246 AV PUEYRREDON;-58,4030371;-34,5961489;Parada Colectivo;
5164;1320 AV PUEYRREDON;-58,4028241;-34,5955095;Parada Colectivo;
5165;1450 AV PUEYRREDON;-58,4022081;-34,5938969;Parada Colectivo;
5166;1976 AV PUEYRREDON;-58,3991895;-34,5885767;Parada Colectivo;
5167;2580 AV PUEYRREDON;-58,3922653;-34,5849666;Parada Colectivo;
5168;1785 AV PUEYRREDON;-58,4004627;-34,5906142;Parada Colectivo;
5169;1753 AV PUEYRREDON;-58,4006298;-34,5908623;Parada Colectivo;
5170;1577 AV PUEYRREDON;-58,4015397;-34,5928567;Parada Colectivo;
5171;1529 AV PUEYRREDON;-58,4016779;-34,5931716;Parada Colectivo;
5172;1373 AV PUEYRREDON;-58,4024439;-34,5948749;Parada Colectivo;
5173;1355 AV PUEYRREDON;-58,4024956;-34,5951087;Parada Colectivo;
5174;932 AV PUEYRREDON;-58,403975;-34,5995313;Parada Colectivo;
5175;925 AV PUEYRREDON;-58,4040326;-34,5996602;Parada Colectivo;
5176;467 AV PUEYRREDON;-58,4054596;-34,6049366;Parada Colectivo;
5177;677 AV PUEYRREDON;-58,4048153;-34,6022841;Parada Colectivo;
5178;365 AV PUEYRREDON;-58,405707;-34,6059623;Parada Colectivo;
5179;1659 URIBURU JOSE E PRES;-58,395163;-34,590031;Parada Colectivo;
5180;832 JUNIN;-58,3972747;-34,599361;Parada Colectivo;
5181;1930 VIAMONTE;-58,3945168;-34,6009179;Parada Colectivo;
5182;1920 VIAMONTE;-58,3944158;-34,6009179;Parada Colectivo;
5183;1716 VIAMONTE;-58,3916757;-34,600803;Parada Colectivo;
5184;2124 VIAMONTE;-58,3974732;-34,6010686;Parada Colectivo;
5185;2126 VIAMONTE;-58,3975308;-34,6010686;Parada Colectivo;
5186;2518 VIAMONTE;-58,4026723;-34,6010713;Parada Colectivo;
5187;2740 VIAMONTE;-58,4049944;-34,6008816;Parada Colectivo;
5188;2909 VIAMONTE;-58,4068405;-34,6007274;Parada Colectivo;
5189;1429 HUMBOLDT;-58,4379803;-34,5871257;Parada Colectivo;
5190;1779 HUMBOLDT;-58,4347046;-34,5842771;Parada Colectivo;
5191;2083 HUMBOLDT;-58,4318182;-34,5817602;Parada Colectivo;
5192;2016 FITZ ROY;-58,4330361;-34,5812916;Parada Colectivo;
5193;1622 FITZ ROY;-58,4369934;-34,5847517;Parada Colectivo;
5194;1491 BONPLAND;-58,4392973;-34,585056;Parada Colectivo;
5195;1291 BONPLAND;-58,4415946;-34,5869322;Parada Colectivo;
5196;1097 BONPLAND;-58,4433474;-34,5882837;Parada Colectivo;
5197;2287 BONPLAND;-58,4320655;-34,5787442;Parada Colectivo;
5198;2014 CARRANZA, ANGEL JUSTINIANO;-58,4354559;-34,5799009;Parada Colectivo;
5199;1722 CARRANZA, ANGEL JUSTINIANO;-58,4382129;-34,5822949;Parada Colectivo;
5200;1512 CARRANZA, ANGEL JUSTINIANO;-58,4394884;-34,5833894;Parada Colectivo;
5201;1314 CARRANZA, ANGEL JUSTINIANO;-58,4424025;-34,5859677;Parada Colectivo;
5202;87 CAMPICHUELO;-58,433186;-34,61566;Parada Colectivo;
5203;395 CAMPICHUELO;-58,4346885;-34,6128201;Parada Colectivo;
5204;1389 ARANGUREN, JUAN F., DR.;-58,4518539;-34,6182955;Parada Colectivo;
5205;2137 GAONA AV.;-58,4571823;-34,6129402;Parada Colectivo;
5206;895 ALVAREZ, DONATO, TTE. GRAL.;-58,4584786;-34,6159456;Parada Colectivo;
5207;629 ALVAREZ, DONATO, TTE. GRAL.;-58,4573828;-34,6181136;Parada Colectivo;
5208;629 ALVAREZ, DONATO, TTE. GRAL.;-58,4573828;-34,6181136;Parada Colectivo;
5209;1021 ALBERDI, JUAN BAUTISTA AV.;-58,4422293;-34,6227484;Parada Colectivo;
5210;306 DARWIN;-58,4483439;-34,5963133;Parada Colectivo;
5211;1097 CAMARGO;-58,4454417;-34,5955948;Parada Colectivo;
5212;891 CAMARGO;-58,4435738;-34,5973203;Parada Colectivo;
5213;695 CAMARGO;-58,4417149;-34,5989754;Parada Colectivo;
5214;689 CAMARGO;-58,4416598;-34,5990251;Parada Colectivo;
5215;22 FIGUEROA, D. APOLINARIO, CORONEL;-58,4426897;-34,6023598;Parada Colectivo;
5216;20 FIGUEROA, D. APOLINARIO, CORONEL;-58,4426723;-34,6023477;Parada Colectivo;
5217;297 LAVALLEJA;-58,4355233;-34,6016171;Parada Colectivo;
5218;297 LAVALLEJA;-58,4354139;-34,6015467;Parada Colectivo;
5219;510 JULIAN ALVAREZ;-58,4350102;-34,5998843;Parada Colectivo;
5220;4745 ESTADO DE ISRAEL AV.;-58,431479;-34,6012501;Parada Colectivo;
5221;4167 ESTADO DE ISRAEL AV.;-58,424413;-34,597655;Parada Colectivo;
5222;806 AMBROSETTI, JUAN B.;-58,4387874;-34,6087164;Parada Colectivo;
5223;895 CARRASCO;-58,4968948;-34,6279349;Parada Colectivo;
5224;1183 LOPE DE VEGA AV.;-58,506445;-34,62829;Parada Colectivo;
5225;5279 ALVAREZ JONTE;-58,5114164;-34,6239801;Parada Colectivo;
5226;5289 ALVAREZ JONTE;-58,5115283;-34,6241376;Parada Colectivo;
5227;5258 LASCANO;-58,5122641;-34,6230064;Parada Colectivo;
5228;1895 LOPE DE VEGA AV.;-58,5137866;-34,6225496;Parada Colectivo;
5229;5895 ARREGUI;-58,5187679;-34,6271094;Parada Colectivo;
5230;6087 ALVAREZ JONTE;-58,5180511;-34,6303049;Parada Colectivo;
5231;432 GANA;-58,526926;-34,6346361;Parada Colectivo;
5232;697 MADERO;-58,5263903;-34,6304441;Parada Colectivo;
5233;706 GANA;-58,5276408;-34,6305522;Parada Colectivo;
5234;5495 BAIGORRIA;-58,5188681;-34,6217955;Parada Colectivo;
5235;2181 LOPE DE VEGA AV.;-58,5167447;-34,6203715;Parada Colectivo;
5236;4993 BAIGORRIA;-58,5129595;-34,6166186;Parada Colectivo;
5237;4985 BAIGORRIA;-58,5128325;-34,6165435;Parada Colectivo;
5238;2395 BERMUDEZ;-58,5130089;-34,6167608;Parada Colectivo;
5239;2195 BERMUDEZ;-58,5108433;-34,6184445;Parada Colectivo;
5240;1906 CERVANTES;-58,5090566;-34,6219422;Parada Colectivo;
5241;4991 ALVAREZ JONTE;-58,507664;-34,6207423;Parada Colectivo;
5242;4981 ALVAREZ JONTE;-58,5075813;-34,6206994;Parada Colectivo;
5243;5016 LASCANO;-58,509043;-34,620178;Parada Colectivo;
5244;4699 ALVAREZ JONTE;-58,5047263;-34,6191597;Parada Colectivo;
5245;4679 ALVAREZ JONTE;-58,504432;-34,6189309;Parada Colectivo;
5246;4514 LASCANO;-58,5033992;-34,6171432;Parada Colectivo;
5247;4508 LASCANO;-58,5033268;-34,617105;Parada Colectivo;
5248;4479 ALVAREZ JONTE;-58,5022416;-34,6177993;Parada Colectivo;
5249;4191 ALVAREZ JONTE;-58,4990538;-34,6161252;Parada Colectivo;
5250;3908 LASCANO;-58,4966661;-34,6133257;Parada Colectivo;
5251;3997 ALVAREZ JONTE AV.;-58,4968342;-34,6149216;Parada Colectivo;
5252;2497 BAHIA BLANCA;-58,5004978;-34,6108619;Parada Colectivo;
5253;4610 CAJARAVILLA;-58,4915704;-34,6401769;Parada Colectivo;
5254;33 CARRERAS, SANTIAGO DE LAS;-58,4893744;-34,6361262;Parada Colectivo;
5255;26 AV LACARRA;-58,4871288;-34,6355576;Parada Colectivo;
5256;4 AV LACARRA;-58,4873694;-34,6353883;Parada Colectivo;
5257;4104 FALCON, RAMON L.,CNEL.;-58,4844657;-34,635855;Parada Colectivo;
5258;4102 AVELLANEDA AV.;-58,4861991;-34,6301246;Parada Colectivo;
5259;3420 AVELLANEDA AV.;-58,4778523;-34,6280611;Parada Colectivo;
5260;3420 AVELLANEDA AV.;-58,477821;-34,628127;Parada Colectivo;
5261;202 CUENCA;-58,47475731;-34,6292706;Parada Colectivo;
5262;5712 CAMARONES;-58,5102386;-34,633494;Parada Colectivo;
5263;5416 CAMARONES;-58,5073121;-34,6308382;Parada Colectivo;
5264;5210 CAMARONES;-58,5054519;-34,6291606;Parada Colectivo;
5265;5082 CAMARONES;-58,5036869;-34,627577;Parada Colectivo;
5266;1310 CERVANTES;-58,5029706;-34,6266473;Parada Colectivo;
5267;4895 BELAUSTEGUI, LUIS, DR.;-58,4980662;-34,6300983;Parada Colectivo;
5268;1197 BERMUDEZ;-58,500005;-34,625911;Parada Colectivo;
5269;4602 CAMARONES;-58,4982606;-34,6241745;Parada Colectivo;
5270;4420 CAMARONES;-58,49603;-34,623357;Parada Colectivo;
